증권종류,회사명,종목코드,업종,주요제품,상장일,결산일,대표자명,홈페이지,지역
코스닥,노바텍,285490,그외 기타 제품 제조업,그외 기타 제품 제조업,2018-11-02,12월,오춘택,http://www.mynovatech.com,경기도
코스닥,엘앤씨바이오,290650,의약품 제조업,의약품 제조업,2018-11-01,12월,이환철..,http://www.lncbio.co.kr,경기도
코스닥,네온테크,306620,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2018-10-31,12월,황성일,없음,경기도
코스닥,로보티즈,108490,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2018-10-26,12월,김병수,없음,서울특별시
코스닥,옵티팜,153710,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2018-10-26,12월,김현일,http://www.optipharm.co.kr,충청북도
코스닥,에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-10-15,12월,홍성민..,http://www.s-fuelcell.com/,경기도
유가증권,세아제강,306200,1차 철강 제조업,1차 철강 제조업,2018-10-05,12월,이휘령..,http://www.seahsteel.co.kr,서울특별시
코스닥,나우IB,293580,기타 금융업,기타 금융업,2018-10-04,12월,이승원,http://www.nauib.com,서울특별시
코스닥,푸드나무,290720,무점포 소매업,무점포 소매업,2018-10-04,12월,김도형,http://www.foodnamoo.com,서울특별시
유가증권,하나제약,293480,의약품 제조업,의약품 제조업,2018-10-02,12월,최태홍,http://www.hanaph.co.kr,경기도
코스닥,크리스에프앤씨,110790,봉제의복 제조업,봉제의복 제조업,2018-10-01,12월,우진석..,http://www.creas.co.kr,서울특별시
코스닥,더블유에스아이,299170,생활용품 도매업,생활용품 도매업,2018-09-21,12월,이윤석,없음,서울특별시
코스닥,한국비티비,219750,의료용 기기 제조업,의료용 기기 제조업,2018-09-21,12월,최완규,http://www.gtgwellness.co.kr,경기도
유가증권,우진아이엔에스,010400,건물설비 설치 공사업,건물설비 설치 공사업,2018-09-14,12월,홍경모,http://www.woojini.com,서울특별시
코스닥,엔피,291230,기타 사업지원 서비스업,기타 사업지원 서비스업,2018-09-13,12월,백승업..,http://www.npinc.co.kr/,서울특별시
코스닥,피엔티엠에스,257370,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2018-09-13,12월,김준섭,http://www.ms-mc.co.kr,대구광역시
코넥스,엔솔바이오사이언스,140610,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2018-09-10,12월,김해진,http://www.ensolbio.co.kr,대전광역시
코스닥,디지캡,197140,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2018-09-07,12월,범진규,http://www.digicaps.com,서울특별시
코스닥,지니틱스,303030,반도체 제조업,반도체 제조업,2018-08-30,12월,홍근의,http://www.zinitix.com,경기도
