제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크
그래서 이런 나라가 생겼대요,우리누리,,,,,,,길벗스쿨,2025년 09월,13500,10.0,33,https://www.yes24.com/product/goods/154253853
귀멸의 칼날 23,고토게 코요하루,,,,,,,학산문화사,2021년 04월,5400,9.8,62,https://www.yes24.com/product/goods/110328304
2026 써니 행정법총론 핵심집약,박준철,,,,,,,제이씨에듀,2025년 07월,28800,10.0,101,https://www.yes24.com/product/goods/148564894
해커스 보카 Hackers Vocabulary,David Cho,,,,,,,해커스어학연구소,2025년 04월,15210,9.5,444,https://www.yes24.com/product/goods/18410503
야마다 군과 Lv999의 사랑을 하다 2,마시로,,,,,,,디앤씨미디어(D&C미디어),2025년 09월,7200,10.0,3,https://www.yes24.com/product/goods/157777926
야마다 군과 Lv999의 사랑을 하다 1,마시로,,,,,,,디앤씨미디어(D&C미디어),2025년 09월,7200,10.0,3,https://www.yes24.com/product/goods/157777862
모모세 아키라의 첫사랑 파탄 중 1 트리플특전판,하레카와 신타,,,,,,,서울미디어코믹스(서울문화사),2025년 10월,6750,10.0,1,https://www.yes24.com/product/goods/154286959
뿐이 토핑 이유식,정주희,,,,,,,서사원,2024년 03월,26820,9.6,126,https://www.yes24.com/product/goods/125183742
설민석의 삼국지 대모험 24,단꿈아이,,,,,,,단꿈아이,2025년 10월,12600,10.0,24,https://www.yes24.com/product/goods/159494533
주식투자 단기 트레이딩의 정석,강창권,,,,,,,길벗,2025년 09월,29700,9.8,29,https://www.yes24.com/product/goods/154076859
먼저 온 미래,장강명,,,,,,,동아시아,2025년 06월,18000,9.4,58,https://www.yes24.com/product/goods/148032297
초판본 하늘과 바람과 별과 시,윤동주,,,,,,,더스토리,2024년 12월,2690,9.9,221,https://www.yes24.com/product/goods/140042426
엄마의 역사 편지,박은봉,,,,,,,책과함께어린이,2010년 05월,19800,9.7,64,https://www.yes24.com/product/goods/3799295
설민석의 한국사 대모험 34,"설민석, 남이담",,,,,,,단꿈아이,2025년 08월,12600,10.0,135,https://www.yes24.com/product/goods/152439802
1984,조지 오웰,,,,,,,민음사,2003년 06월,9900,9.6,664,https://www.yes24.com/product/goods/372300
